Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	MXF0224	MXF2938	MXF6221	MXF675	MXF742	MXF7671	MXF9	PMFH904	MXF909	MXF911	MXF1041	MXF2516	MXF632	MXF633	MXF659	MXF730	MXF832	MXF851	PMFH864	PMFH30	PMFH35	PMFH41	PMFH6	PMFH759	PMFH762	PMFH763	PMFH764	PMFH767	PMFH774	PMFH814	PMFH816	PMFH817	PMFH818	PMFH819	PMFH833	PMFH853	PMFH854	PMFH857	PMFH859	PMFH860	PMFH862	PMFH865	PMFH867	PMFH870	PMFH876	PMFH877	PMFH878	PMFH898	PMFH899	PMFH905	PMFH910	MXF2553	MXF664	MXF6838	MXF9679
Amplification Peak 11	4q12    	chr4:10846183-69402790(probes 276112:294120)      	chr4:54524152-54960299(probes 289948:290138)      	chr4:54524152-55374134(probes 289948:290283)      	0.16672	     0.2125		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	0	2	1	1	2	2	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	2	0	1	0	0	0	1	0	2	1	0	1	0	1	1	0	1	2	1	1	0	0	1	0	0	0	1	0	2	0
Amplification Peak 12	4q13.2  	chr4:69427221-69462378(probes 294128:294130)      	chr4:69438182-69459448(probes 294129:294129)      	chr4:69223076-69810815(probes 294120:294186)      	4.1258e-05	 5.0819e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	1	2	1	1	1	0	0	0	1	2	1	1	0	0	0	1	1	0	0	2	2	2	2	1	0	1	0	0	2	1	2	2	0	1	2	0	0	0	0	2	2	2	2	1	0	1	0	0	1	0	0	2	2
Amplification Peak 13	4q31.21 	chr4:140195022-161235142(probes 319775:327948)  	chr4:146435582-146556682(probes 322232:322285)  	chr4:146271291-146906990(probes 322185:322469)  	0.13549	    0.13549		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	2	1	0	2	0	0	2	1	2	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	2
Amplification Peak 14	5p15.1  	chr5:8374298-21392608(probes 341517:345960)        	chr5:16465420-16521912(probes 344529:344554)      	chr5:12209875-21247302(probes 343080:345955)      	0.029183	   0.040303		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	1	2	2	2	1	0	0	1	1	2	2	2	0	1	2	1	0	0	1	0	1	1	1	0	1	0	2	0	1	0	1	1	1	0	2	0	1	0	1	2	1	1	0	0	0	0	0	0	2	0	1	2
Amplification Peak 15	5p14.1  	chr5:21565097-36618688(probes 346002:350681)      	chr5:27995708-28600673(probes 347749:347838)      	chr5:23607104-29602135(probes 346819:348040)      	0.024248	   0.056355		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	1	2	2	2	1	2	2	1	1	2	2	2	0	1	2	1	0	0	1	0	1	1	1	0	1	0	2	1	1	0	1	1	1	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	2	0	1	2
Amplification Peak 16	5p13.1  	chr5:26414649-60744650(probes 347401:358357)      	chr5:38443474-38457802(probes 351444:351452)      	chr5:37954361-38967915(probes 351263:351672)      	0.066581	    0.19995		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	2	2	2	2	1	2	2	1	1	2	2	2	0	1	2	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	2	2	1	1	0	0	0	0	0	1	2	1	1	2
Amplification Peak 17	6p21.32 	chr6:32595018-32624785(probes 418212:418224)      	chr6:32603980-32613893(probes 418213:418217)      	chr6:32603980-32628244(probes 418213:418226)      	0.12708	    0.13171		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	2	2	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	0	0	1	2
Amplification Peak 18	6p21.1  	chr6:38413223-54724601(probes 421251:428589)      	chr6:40732684-41030238(probes 422368:422472)      	chr6:40586185-41516090(probes 422339:422689)      	0.1243	     0.1284		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	2	1	0	1	1	1	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	2
Amplification Peak 19	7p22.3  	chr7:1-83324(probes 471265:471277)                      	chr7:1-65557(probes 471265:471273)                      	chr7:1-2562741(probes 471265:472273)                  	0.0063925	   0.023724		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	2	2	1	1	1	1	0	0	0	0	1	1	0	0	2	0	0	2	1	0	1	1	1	0	1	0	1	0	1	1	2	1	0	0	1	1	1	1	0	1	0	2	2	0	0	2	0	1	2	2	1	2
Amplification Peak 20	7p15.2  	chr7:27140333-27303558(probes 482435:482563)      	chr7:27234944-27237811(probes 482532:482532)      	chr7:6870885-34915374(probes 474269:486356)        	0.00035076	   0.010071		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	2	2	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	2	1	1	2	1	1	1	2	0	0	0	1	2	2	1	2	2	1	1	1	1	1	1	1	1	2	0	0	1	0	1	0	2	1	0
Amplification Peak 21	7p14.1  	chr7:38296177-38352384(probes 487757:487786)      	chr7:38315241-38350593(probes 487763:487785)      	chr7:38291808-38415395(probes 487756:487803)      	2.716e-08	 1.4233e-07		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	2	2	2	2	2	2	2	1	1	0	2	2	0	0	1	1	1	0	1	2	1	1	0	0	2	1	0	0	0	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	0	1	1	2	1	1	1	2
Amplification Peak 22	7p11.2  	chr7:55057822-55659466(probes 493833:494133)      	chr7:55131015-55134189(probes 493879:493879)      	chr7:55062561-55662710(probes 493834:494135)      	0.032579	   0.047447		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	2	1	0	1	1	0	2	0	1	1	2	2	2	1	0	0	0	2	0	0	1	1
Amplification Peak 23	7q31.2  	chr7:84966313-139871805(probes 502603:530112)    	chr7:116330503-116528152(probes 517530:517643)  	chr7:116330503-116531301(probes 517530:517646)  	0.10863	    0.12488		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	1	1	0	2	1	1	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	1	1	2	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	1
Amplification Peak 24	7q34    	chr7:141759946-141789173(probes 531188:531199)  	chr7:141766884-141787661(probes 531190:531198)  	chr7:141761545-141806542(probes 531189:531204)  	0.031564	    0.03254		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	1	1	0	0	1	1	2	1	0	2	0	0	1	2	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	2	2	1	0	0	0	0	0	0	2	0	0	1	2	0	1	0	2	0	2	0	1	1	0
Amplification Peak 25	8p12    	chr8:35277807-36287276(probes 553584:553935)      	chr8:35825821-36196004(probes 553839:553919)      	chr8:35278949-36297528(probes 553585:553937)      	0.028623	   0.062755		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	0	2	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0
Amplification Peak 26	8p11.22 	chr8:39220644-39392474(probes 555083:555151)      	chr8:39243894-39263326(probes 555086:555094)      	chr8:38976147-39416497(probes 554980:555158)      	5.701e-11	 1.2553e-10		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	2	0	1	2	1	2	2	2	0	2	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	2	2	2	1	0	2	1	2	0	0	0	2	2	0	0	0	1	2	2	2	2	0	0
Amplification Peak 27	8q22.1  	chr8:39378358-146364022(probes 555150:593497)    	chr8:98167443-98175025(probes 574755:574755)      	chr8:98167443-98182448(probes 574755:574758)      	0.19995	    0.21895		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	2	1	1	0	0	0	0	1	0	1	0	0	1	1	2	0	1	1	2	1	0	2	2	0	1	0	0	0	1	2	0	2
Amplification Peak 28	9p24.1  	chr9:1-18506410(probes 593498:601051)               	chr9:5044880-5284730(probes 595758:595846)          	chr9:2431407-5308148(probes 594483:595854)          	0.12708	    0.12708		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	2	0	0	2	1	1	2	2	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1
Amplification Peak 29	9p13.3  	chr9:35121811-38490774(probes 606997:608666)      	chr9:35654568-36044914(probes 607251:607491)      	chr9:35173028-36140659(probes 607006:607545)      	0.1493	     0.1493		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	1	0	0	1
Amplification Peak 30	11q11   	chr11:55356043-55468559(probes 714002:714033)    	chr11:55383477-55444167(probes 714010:714029)    	chr11:55357830-55475358(probes 714003:714036)    	0.019428	   0.021975		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	1	1	0	1	0	2	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	2	1	0	2	1	2	1	2	0	1	0	1	2	0	2	1	1	2
Amplification Peak 31	11q13.3 	chr11:28199438-106104181(probes 706011:735906)  	chr11:69089599-69263306(probes 721120:721144)    	chr11:69089599-69279801(probes 721120:721147)    	0.16216	    0.24666		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	1	1	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	2	1	0	0	1
Amplification Peak 32	11q14.1 	chr11:81921528-82008497(probes 726556:726581)    	chr11:81927526-81997716(probes 726557:726580)    	chr11:81808560-82047580(probes 726525:726593)    	0.029519	   0.036461		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	2	1	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0
Amplification Peak 33	11q22.1 	chr11:98205109-106374340(probes 732722:735949)  	chr11:100857785-101241472(probes 733770:733895)	chr11:99154241-101897664(probes 732986:734136)  	0.045989	   0.061033		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Amplification Peak 34	12q15   	chr12:69115810-70960162(probes 776835:777694)    	chr12:69602336-70515972(probes 777053:777500)    	chr12:69117426-70963670(probes 776836:777696)    	0.018988	   0.021975		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Amplification Peak 35	12q21.1 	chr12:1-133851895(probes 748688:803460)           	chr12:72327243-72348868(probes 778422:778432)    	chr12:72327243-72353985(probes 778422:778435)    	0.16672	    0.24666		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0
Amplification Peak 36	14q11.2 	chr14:22696965-22977327(probes 843317:843472)    	chr14:22881455-22961528(probes 843417:843468)    	chr14:22259319-23049406(probes 843086:843503)    	5.701e-11	  5.701e-11		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	2	1	1	0	0	1	0	1	1	1	1	1	1	2	2	1	1	1	2	0	0	1	2	0	2	0	1	2	1	0	2	1	2	1	2	1	2	0	2	0	1	2	2	2	1	2
Amplification Peak 37	14q32.33	chr14:106521539-106636700(probes 880233:880243)	chr14:106523145-106632342(probes 880234:880242)	chr14:106523145-106664979(probes 880234:880245)	1.445e-06	  1.445e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	1	1	1	1	2	2	2	2	2	2	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	2	0	2	2	0	0	0	1	2	0	2	2	0	2	0	2	1	2	0
Amplification Peak 38	17p12   	chr17:7900451-21050277(probes 954167:959711)      	chr17:15605919-15712957(probes 957592:957606)    	chr17:12040334-16089281(probes 956384:957749)    	0.066581	    0.14892		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	0	1	1	1	0	2	0	1	2	0	0	2	0	0	0	1	1	1	0	0	0	1	1	1	2	0	0	0	2	0	0	1	0	1	0	2	1	0	0	2	2	0	0	0	0	2	0	0	1	0	0	0	1
Amplification Peak 39	17p11.2 	chr17:1-59217843(probes 949967:975663)              	chr17:21254998-21320064(probes 959814:959841)    	chr17:21239288-21715684(probes 959813:959894)    	0.10949	    0.24666		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	0	1	0	1	0	2	0	1	2	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	2	2	0	0	0	0	0	1	0	1	0	2	1	1	0	2	2	2	0	0	0	2	0	0	1	0	0	0	1
Amplification Peak 40	17q23.2 	chr17:43659395-81195210(probes 969008:985898)    	chr17:59506474-59570537(probes 975826:975858)    	chr17:59495474-59632496(probes 975821:975869)    	0.11748	    0.11748		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	2	0	1	0	1	1	2	0	1	1	1	0	2	0	0	0	0	2	0	1	0	2
Amplification Peak 41	19q12   	chr19:28315300-32851398(probes 1026375:1027783)  	chr19:30266361-30384775(probes 1027020:1027063)  	chr19:28318299-32852381(probes 1026376:1027785)  	0.021975	   0.021975		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	0	1	0	2	0	1	2	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	2	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	2	0	2	0	0	0	0	1	0	0	0	2
Amplification Peak 42	22q11.21	chr22:19420335-22835688(probes 1085678:1087303)  	chr22:21253659-21373416(probes 1086598:1086668)  	chr22:20238207-22200678(probes 1086250:1086952)  	0.059597	   0.087695		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	2	1	0	1	2	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	2	1	0	1	0	1	0	2	0	1	1	1	1	2	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0
Amplification Peak 43	22q11.23	chr22:24376167-24406989(probes 1088101:1088111)  	chr22:24378013-24406989(probes 1088102:1088110)  	chr22:24337609-24409573(probes 1088090:1088113)  	1.5806e-08	 2.0679e-08		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	1	1	2	1	1	0	1	2	0	0	2	0	0	1	2	0	2	2	2	0	1	0	2	0	2	2	1	2	0	1	2	0	2	2	2	2	0	2	2	0	1	0	2	0	0	0	2	0	0	2	1	1
Deletion Peak   1	1p36.13 	chr1:16816239-17303385(probes 7146:7198)          	chr1:17088415-17214110(probes 7169:7170)          	chr1:16840488-17284827(probes 7150:7188)          	0.083894	   0.083894		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
Deletion Peak   2	1p13.2  	chr1:94021743-145418758(probes 41823:52359)      	chr1:112936185-113005491(probes 48852:48892)    	chr1:112945764-113031579(probes 48857:48902)    	0.06778	   0.067293		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0
Deletion Peak   3	1q42.11 	chr1:212605999-241522030(probes 81302:93895)    	chr1:224444359-224589064(probes 86039:86131)    	chr1:189233218-249250621(probes 71909:97446)    	6.743e-08	 0.00037834		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1
Deletion Peak   4	1q44    	chr1:248646735-248846214(probes 97301:97341)    	chr1:248793929-248835636(probes 97333:97334)    	chr1:189233218-249250621(probes 71909:97446)    	2.4998e-11	 2.3457e-08		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1
Deletion Peak   5	2p25.3  	chr2:1-266407(probes 97447:97546)                      	chr2:37610-50660(probes 97452:97458)                    	chr2:1-153310(probes 97447:97497)                      	0.014588	   0.014119		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	2	1	1	0	0	1	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1
Deletion Peak   6	2p13.3  	chr2:70352291-70674633(probes 127007:127158)      	chr2:70433493-70476942(probes 127048:127083)      	chr2:70387728-70466821(probes 127023:127072)      	0.059771	   0.058357		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1
Deletion Peak   7	2q11.1  	chr2:89109906-95422086(probes 133890:134068)      	chr2:91812481-95420437(probes 134066:134067)      	chr2:90258262-95430517(probes 134052:134069)      	0.14897	    0.15382		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Deletion Peak   8	2q35    	chr2:206481182-223158679(probes 175801:183015)  	chr2:219314120-219436608(probes 181508:181571)  	chr2:216910451-243199373(probes 180429:191770)  	0.00042652	   0.058357		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1
Deletion Peak   9	2q37.1  	chr2:223917656-242814989(probes 183371:191651)  	chr2:232318134-232327703(probes 186825:186829)  	chr2:216910451-243199373(probes 180429:191770)  	6.0832e-08	  0.0059014		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1
Deletion Peak  10	2q37.3  	chr2:242815921-243199373(probes 191654:191770)  	chr2:243028397-243199373(probes 191768:191770)  	chr2:216910451-243199373(probes 180429:191770)  	9.3526e-20	 9.4231e-17		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	0	1	2	1	1	1	1	1	0	1	1	0	2	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1
Deletion Peak  11	3p26.3  	chr3:1-2142012(probes 191771:192604)                  	chr3:235432-294499(probes 191821:191850)              	chr3:1-2161245(probes 191771:192614)                  	0.014497	   0.018639		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	2	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1
Deletion Peak  12	3p21.31 	chr3:47016553-49712485(probes 211280:212760)      	chr3:47050363-47210813(probes 211297:211376)      	chr3:47047937-49677207(probes 211296:212740)      	0.0007494	   0.056505		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0
